Time,long,M,a,e,i,peri,node,mass
0.0,252.8504,359.5954,3.52821,0.318183,0.0001,252.7639,0.0865,0.003856524
27.3785079,254.0583,282.1864,3.55297,0.327175,0.0001,254.0179,0.0404,0.003856524
54.7570157,253.6496,206.6605,3.56148,0.330153,0.0001,253.7664,359.8832,0.003856524
82.1355236,253.0874,131.1847,3.55904,0.329058,0.0001,253.3165,359.7709,0.003856524
109.5140315,252.7176,55.45687,3.54629,0.323635,0.0001,253.0701,359.6476,0.003856524
136.8925394,254.8485,337.2754,3.53302,0.318426,0.0001,255.2629,359.5855,0.003856524
164.2710472,255.0716,260.8512,3.55577,0.326886,0.0001,255.5484,359.5232,0.003856524
191.6495551,254.5825,185.3398,3.56225,0.32896,0.0001,255.1773,359.4053,0.003856524
219.028063,254.0966,109.8919,3.55773,0.326907,0.0001,254.7893,359.3074,0.003856524
246.4065708,254.045,33.76055,3.53742,0.318698,0.0001,254.8604,359.1846,0.003856524
273.7850787,256.3346,315.3457,3.54284,0.320412,0.0001,257.1785,359.1561,0.003856524
301.1635866,256.1005,239.5381,3.55821,0.326231,0.0001,257.0142,359.0863,0.003856524
328.5420945,255.5163,164.0452,3.56113,0.32709,0.0001,256.5772,358.939,0.003856524
355.9206023,255.05,88.55913,3.55515,0.324269,0.0001,256.2261,358.824,0.003856524
383.2991102,255.7379,11.7478,3.52915,0.314183,0.0001,256.9824,358.7556,0.003856524
410.6776181,257.4607,293.7936,3.54989,0.32161,0.0001,258.7292,358.7315,0.003856524
438.0561259,257.0836,218.2112,3.56079,0.325547,0.0001,258.4756,358.6079,0.003856524
465.4346338,256.5036,142.7627,3.55986,0.324977,0.0001,258.0067,358.4969,0.003856524
492.8131417,256.0409,67.14014,3.54982,0.320545,0.0001,257.6627,358.3782,0.003856524
520.1916496,257.7931,349.347,3.53036,0.312783,0.0001,259.4634,358.3297,0.003856524
547.5701574,258.4754,272.4479,3.55387,0.321661,0.0001,260.1842,358.2911,0.003856524
574.9486653,257.9866,196.9171,3.56189,0.324427,0.0001,259.8119,358.1747,0.003856524
602.3271732,257.4743,121.4925,3.55892,0.322935,0.0001,259.3909,358.0834,0.003856524
629.705681,257.2176,45.5911,3.54268,0.316048,0.0001,259.2257,357.992,0.003856524
657.0841889,259.516,327.1692,3.53819,0.31414,0.0001,261.6032,357.9129,0.003856524
684.4626968,259.4925,251.126,3.55684,0.321243,0.0001,261.6016,357.8909,0.003856524
711.8412047,258.8937,175.6461,3.5612,0.322659,0.0001,261.1256,357.7681,0.003856524
739.2197125,258.379,100.2082,3.55675,0.320441,0.0001,260.6841,357.6949,0.003856524
766.5982204,258.7104,23.79489,3.53508,0.311307,0.0001,261.1458,357.5645,0.003856524
793.9767283,260.7503,305.4905,3.54624,0.315587,0.0001,263.1875,357.5628,0.003856524
821.3552361,260.4482,229.8087,3.5598,0.320675,0.0001,262.9664,357.4818,0.003856524
848.733744,259.8479,154.3835,3.56032,0.320668,0.0001,262.4504,357.3975,0.003856524
876.1122519,259.3115,78.84353,3.55246,0.317086,0.0001,262.0263,357.2852,0.003856524
903.4907598,260.5665,1.561453,3.52973,0.307777,0.0001,263.3506,357.2159,0.003856524
930.8692676,261.8005,284.0941,3.55135,0.31603,0.0001,264.6042,357.1963,0.003856524
958.2477755,261.3259,208.5315,3.56133,0.319625,0.0001,264.1926,357.1333,0.003856524
985.6262834,260.7862,133.1299,3.55985,0.318675,0.0001,263.7687,357.0175,0.003856524
1013.0047912,260.3807,57.4024,3.54672,0.312947,0.0001,263.4263,356.9544,0.003856524
1040.3832991,262.4681,339.2003,3.53465,0.307888,0.0001,265.592,356.8761,0.003856524
1067.761807,262.8017,262.7725,3.55527,0.315908,0.0001,265.9255,356.8762,0.003856524
1095.1403149,262.2008,187.2917,3.5611,0.317979,0.0001,265.4132,356.7876,0.003856524
1122.5188227,261.6548,111.8777,3.55816,0.31633,0.0001,264.9503,356.7044,0.003856524
1149.8973306,261.6542,35.79785,3.5403,0.30847,0.0001,265.0636,356.5906,0.003856524
1177.2758385,263.9061,317.309,3.54209,0.30923,0.0001,267.3175,356.5886,0.003856524
1204.6543463,263.741,241.4555,3.55855,0.315523,0.0001,267.2331,356.5079,0.003856524
1232.0328542,263.1199,166.052,3.56061,0.316099,0.0001,266.683,356.437,0.003856524
1259.4113621,262.5244,90.59017,3.55442,0.313193,0.0001,266.1736,356.3507,0.003856524
1286.78987,263.2791,13.79989,3.53404,0.304133,0.0001,267.0088,356.2703,0.003856524
1314.1683778,265.0236,295.8205,3.54833,0.310014,0.0001,268.7427,356.2809,0.003856524
1341.5468857,264.5944,220.1954,3.56048,0.31461,0.0001,268.3782,356.2162,0.003856524
1368.9253936,264.0239,144.8144,3.56039,0.314218,0.0001,267.8919,356.132,0.003856524
1396.3039014,263.5056,69.2203,3.5498,0.309493,0.0001,267.4617,356.0439,0.003856524
1423.6824093,265.1931,351.426,3.53233,0.301951,0.0001,269.192,356.0011,0.003856524
1451.0609172,266.0343,274.4678,3.55317,0.310226,0.0001,270.0454,355.9889,0.003856524
1478.4394251,265.4407,198.9764,3.56082,0.313071,0.0001,269.5143,355.9264,0.003856524
1505.8179329,264.8639,123.587,3.55928,0.311961,0.0001,269.0328,355.8311,0.003856524
1533.1964408,264.6243,47.75543,3.54445,0.305296,0.0001,268.8522,355.7721,0.003856524
1560.5749487,266.857,329.3115,3.53844,0.302705,0.0001,271.1222,355.7349,0.003856524
1587.9534565,266.9524,253.1629,3.55712,0.310078,0.0001,271.2143,355.738,0.003856524
1615.3319644,266.3209,177.7656,3.5607,0.311317,0.0001,270.6812,355.6397,0.003856524
1642.7104723,265.6928,102.3457,3.55628,0.309052,0.0001,270.1349,355.5579,0.003856524
1670.0889802,265.9666,26.01239,3.538,0.30076,0.0001,270.4561,355.5105,0.003856524
1697.467488,268.1263,307.6531,3.54482,0.303679,0.0001,272.6358,355.4905,0.003856524
1724.8459959,267.79,231.9105,3.55942,0.309354,0.0001,272.3354,355.4546,0.003856524
1752.2245038,267.1873,156.5529,3.56073,0.309528,0.0001,271.7794,355.4079,0.003856524
1779.6030116,266.5867,81.07202,3.55211,0.305584,0.0001,271.2898,355.2969,0.003856524
1806.9815195,267.7277,3.801938,3.53356,0.297089,0.0001,272.4458,355.2819,0.003856524
1834.3600274,269.1731,286.2376,3.5506,0.304224,0.0001,273.8955,355.2776,0.003856524
1861.7385352,268.6083,210.7114,3.56023,0.307994,0.0001,273.3742,355.2341,0.003856524
1889.1170431,267.9976,135.3466,3.55997,0.307423,0.0001,272.8452,355.1524,0.003856524
1916.495551,267.5819,59.70015,3.54773,0.30183,0.0001,272.4801,355.1018,0.003856524
1943.8740589,269.5776,341.5106,3.53514,0.296174,0.0001,274.5331,355.0445,0.003856524
1971.2525667,270.0888,264.92,3.55526,0.304343,0.0001,275.0684,355.0204,0.003856524
1998.6310746,269.4529,189.5214,3.56061,0.306339,0.0001,274.448,355.0048,0.003856524
2026.0095825,268.7942,114.1407,3.55775,0.30468,0.0001,273.8751,354.9191,0.003856524
2053.3880903,268.72,38.15299,3.5418,0.297389,0.0001,273.8939,354.8261,0.003856524
2080.7665982,271.0495,319.6456,3.54147,0.297097,0.0001,276.2003,354.8492,0.003856524
2108.1451061,270.9054,243.6864,3.55819,0.303857,0.0001,276.0871,354.8183,0.003856524
2135.523614,270.2806,168.3374,3.56089,0.304657,0.0001,275.5123,354.7684,0.003856524
2162.9021218,269.6356,92.91763,3.55443,0.301476,0.0001,274.9209,354.7146,0.003856524
2190.2806297,270.1928,16.21485,3.53527,0.292807,0.0001,275.5529,354.6399,0.003856524
2217.6591376,272.2016,298.1041,3.54756,0.297932,0.0001,277.543,354.6586,0.003856524
2245.0376454,271.7014,222.4997,3.55946,0.302713,0.0001,277.0517,354.6497,0.003856524
2272.4161533,271.0553,147.165,3.56043,0.302677,0.0001,276.4979,354.5574,0.003856524
2299.7946612,270.5226,71.66019,3.55029,0.297907,0.0001,276.0299,354.4927,0.003856524
2327.1731691,272.0506,353.9217,3.5338,0.290251,0.0001,277.61,354.4407,0.003856524
2354.5516769,273.1379,276.7482,3.55295,0.298351,0.0001,278.6444,354.4935,0.003856524
2381.9301848,272.5116,201.3299,3.5602,0.301231,0.0001,278.1048,354.4068,0.003856524
2409.3086927,271.8193,125.9867,3.55874,0.300158,0.0001,277.4538,354.3655,0.003856524
2436.6872005,271.4946,50.2536,3.54519,0.293894,0.0001,277.1645,354.3302,0.003856524
2464.0657084,273.7646,331.8139,3.53793,0.290313,0.0001,279.4496,354.315,0.003856524
2491.4442163,273.9467,255.5124,3.5566,0.298121,0.0001,279.6438,354.3029,0.003856524
2518.8227242,273.3042,180.168,3.56088,0.299623,0.0001,279.0566,354.2476,0.003856524
2546.201232,272.6177,104.8024,3.55625,0.29716,0.0001,278.4101,354.2076,0.003856524
2573.5797399,272.7187,28.56712,3.53826,0.289057,0.0001,278.5779,354.1409,0.003856524
2600.9582478,275.0722,310.1115,3.54452,0.291373,0.0001,280.9158,354.1564,0.003856524
2628.3367556,274.7154,234.348,3.55851,0.297233,0.0001,280.5557,354.1597,0.003856524
2655.7152635,274.0447,159.0277,3.56073,0.297778,0.0001,279.9668,354.0779,0.003856524
2683.0937714,273.4445,83.59907,3.55301,0.293861,0.0001,279.3852,354.0593,0.003856524
2710.4722793,274.3806,6.453988,3.53318,0.284962,0.0001,280.4188,353.9618,0.003856524
2737.8507871,276.0844,288.6659,3.55024,0.292105,0.0001,282.0857,353.9987,0.003856524
2765.229295,275.4945,213.1951,3.55963,0.295951,0.0001,281.5167,353.9778,0.003856524
2792.6078029,274.767,137.8943,3.55944,0.295444,0.0001,280.8226,353.9445,0.003856524
2819.9863107,274.2954,62.33364,3.54817,0.290006,0.0001,280.4067,353.8887,0.003856524
2847.3648186,276.2322,344.2018,3.53518,0.28376,0.0001,282.3757,353.8565,0.003856524
2874.7433265,276.9048,267.4064,3.55459,0.292186,0.0001,282.9952,353.9095,0.003856524
2902.1218344,276.2536,192.0542,3.56054,0.294498,0.0001,282.3697,353.8839,0.003856524
2929.5003422,275.5238,116.7389,3.55751,0.292706,0.0001,281.7012,353.8226,0.003856524
2956.8788501,275.2918,40.85588,3.54171,0.285505,0.0001,281.511,353.7808,0.003856524
2984.257358,277.7618,322.2711,3.54105,0.284531,0.0001,283.982,353.7798,0.003856524
3011.6358658,277.6557,246.2468,3.55724,0.291558,0.0001,283.8953,353.7604,0.003856524
3039.0143737,276.9635,170.9392,3.56084,0.292749,0.0001,283.1983,353.7652,0.003856524
3066.3928816,276.3002,95.57793,3.55508,0.289632,0.0001,282.6093,353.6909,0.003856524
3093.7713895,276.6986,18.9978,3.5349,0.280623,0.0001,283.0377,353.6609,0.003856524
3121.1498973,278.8897,300.71,3.54746,0.285606,0.0001,285.2252,353.6645,0.003856524
3148.5284052,278.3997,225.1203,3.55888,0.290513,0.0001,284.7237,353.676,0.003856524
3175.9069131,277.6494,149.8423,3.56,0.290598,0.0001,284.0197,353.6297,0.003856524
3203.2854209,277.0859,74.37961,3.55138,0.286095,0.0001,283.4773,353.6086,0.003856524
3230.6639288,278.5067,356.7685,3.53289,0.277679,0.0001,284.9151,353.5915,0.003856524
3258.0424367,279.7656,279.3841,3.55223,0.286033,0.0001,286.1614,353.6042,0.003856524
3285.4209446,279.1262,204.0013,3.56006,0.289234,0.0001,285.4802,353.646,0.003856524
3312.7994524,278.3527,128.7401,3.55842,0.288068,0.0001,284.7648,353.5878,0.003856524
3340.1779603,277.9434,53.07233,3.54541,0.281763,0.0001,284.38,353.5635,0.003856524
3367.5564682,280.2295,334.6325,3.53769,0.277695,0.0001,286.6712,353.5583,0.003856524
3394.934976,280.5156,258.2116,3.55557,0.285735,0.0001,286.967,353.5486,0.003856524
3422.3134839,279.8068,182.9084,3.56063,0.287661,0.0001,286.2554,353.5514,0.003856524
3449.6919918,279.0822,107.6092,3.55653,0.28527,0.0001,285.5485,353.5337,0.003856524
3477.0704997,279.0518,31.48868,3.53813,0.276909,0.0001,285.5514,353.5004,0.003856524
3504.4490075,281.5377,312.8861,3.54419,0.278815,0.0001,288.0092,353.5285,0.003856524
3531.8275154,281.2318,237.0974,3.55784,0.28492,0.0001,287.6798,353.552,0.003856524
3559.2060233,280.4604,161.8402,3.56035,0.285648,0.0001,286.9113,353.5492,0.003856524
3586.5845311,279.8106,86.46557,3.55374,0.282015,0.0001,286.3136,353.497,0.003856524
3613.963039,280.6689,9.445001,3.5331,0.272642,0.0001,287.1717,353.4972,0.003856524
3641.3415469,282.4979,291.4769,3.54976,0.279655,0.0001,288.9663,353.5316,0.003856524
3668.7200548,281.9224,216.0083,3.55941,0.283849,0.0001,288.3458,353.5765,0.003856524
3696.0985626,281.1206,140.7771,3.55921,0.283317,0.0001,287.5457,353.5749,0.003856524
3723.4770705,280.5856,65.2479,3.54925,0.278089,0.0001,287.0666,353.519,0.003856524
3750.8555784,282.4873,347.1946,3.53446,0.271137,0.0001,288.958,353.5294,0.003856524
3778.2340862,283.282,270.2563,3.55358,0.279727,0.0001,289.6932,353.5888,0.003856524
3805.6125941,282.5719,194.9418,3.56028,0.282463,0.0001,288.9478,353.6241,0.003856524
3832.991102,281.7883,119.7079,3.55757,0.280728,0.0001,288.2014,353.5869,0.003856524
3860.3696099,281.5197,43.86599,3.54257,0.27338,0.0001,287.9187,353.601,0.003856524
3887.7481177,283.9936,325.2385,3.54066,0.271921,0.0001,290.3779,353.6157,0.003856524
3915.1266256,283.9859,249.1396,3.5564,0.279226,0.0001,290.2915,353.6944,0.003856524
3942.5051335,283.1947,173.8973,3.56033,0.280668,0.0001,289.5261,353.6686,0.003856524
3969.8836413,282.4664,98.60145,3.55542,0.2778,0.0001,288.8105,353.6559,0.003856524
3997.2621492,282.801,22.13027,3.53562,0.268579,0.0001,289.1327,353.6683,0.003856524
4024.6406571,285.091,303.6858,3.54681,0.273007,0.0001,291.3487,353.7422,0.003856524
4052.019165,284.6458,228.0689,3.55851,0.278351,0.0001,290.8486,353.7972,0.003856524
4079.3976728,283.8171,152.8653,3.55976,0.278491,0.0001,290.0399,353.7772,0.003856524
4106.7761807,283.1661,77.4602,3.55196,0.274234,0.0001,289.3716,353.7945,0.003856524
4134.1546886,284.555,359.9433,3.53334,0.265466,0.0001,290.7541,353.8009,0.003856524
4161.5331964,285.9299,282.4071,3.55145,0.273525,0.0001,292.0443,353.8856,0.003856524
4188.9117043,285.2617,207.0339,3.55976,0.277179,0.0001,291.3271,353.9346,0.003856524
4216.2902122,284.4394,131.8369,3.55856,0.276097,0.0001,290.4832,353.9562,0.003856524
4243.6687201,283.9784,56.20062,3.54689,0.269983,0.0001,290.039,353.9394,0.003856524
4271.0472279,286.2427,337.7916,3.53708,0.265161,0.0001,292.2531,353.9895,0.003856524
4298.4257358,286.6489,261.2603,3.55471,0.273381,0.0001,292.5537,354.0952,0.003856524
4325.8042437,285.8493,186.0216,3.56017,0.275602,0.0001,291.7312,354.1181,0.003856524
4353.1827515,285.05,110.8044,3.55664,0.273397,0.0001,290.9028,354.1471,0.003856524
4380.5612594,285.0357,34.70646,3.54018,0.265154,0.0001,290.9016,354.1341,0.003856524
4407.9397673,287.5181,316.0474,3.54342,0.266217,0.0001,293.282,354.2361,0.003856524
4435.3182752,287.2925,240.1942,3.55724,0.272796,0.0001,292.9771,354.3154,0.003856524
4462.696783,286.4359,165.0148,3.55993,0.273658,0.0001,292.0839,354.352,0.003856524
4490.0752909,285.6876,89.71404,3.55395,0.270237,0.0001,291.3193,354.3683,0.003856524
4517.4537988,286.4979,12.7915,3.53469,0.260879,0.0001,292.1045,354.3934,0.003856524
4544.8323066,288.4527,294.6622,3.54887,0.267089,0.0001,293.9359,354.5167,0.003856524
4572.2108145,287.8784,219.1809,3.55903,0.271816,0.0001,293.2949,354.5835,0.003856524
4599.5893224,287.0191,144.0187,3.55926,0.27142,0.0001,292.371,354.6481,0.003856524
4626.9678303,286.3919,68.56016,3.5499,0.26639,0.0001,291.7445,354.6474,0.003856524
4654.3463381,288.2613,350.5709,3.53505,0.259055,0.0001,293.5686,354.6927,0.003856524
4681.724846,289.202,273.4798,3.55285,0.267379,0.0001,294.3862,354.8157,0.003856524
4709.1033539,288.4305,198.2021,3.55984,0.270476,0.0001,293.5124,354.9181,0.003856524
4736.4818617,287.5855,123.03,3.55784,0.268933,0.0001,292.636,354.9495,0.003856524
4763.8603696,287.2686,47.23769,3.54456,0.26196,0.0001,292.2765,354.9921,0.003856524
4791.2388775,289.749,328.6002,3.53986,0.259469,0.0001,294.7021,355.0469,0.003856524
4818.6173854,289.8494,252.3982,3.55575,0.267126,0.0001,294.6845,355.165,0.003856524
4845.9958932,288.9742,177.2348,3.55993,0.268764,0.0001,293.6898,355.2843,0.003856524
4873.3744011,288.1453,102.0292,3.55543,0.266036,0.0001,292.8377,355.3076,0.003856524
4900.752909,288.4749,25.59173,3.53848,0.257282,0.0001,293.112,355.3629,0.003856524
4928.1314168,290.8305,307.0511,3.54576,0.26051,0.0001,295.3553,355.4752,0.003856524
4955.5099247,290.4187,231.3928,3.55791,0.266436,0.0001,294.8138,355.6049,0.003856524
4982.8884326,289.52,156.2643,3.55956,0.266761,0.0001,293.8608,355.6592,0.003856524
5010.2669405,288.765,80.94545,3.5522,0.262657,0.0001,293.0111,355.7539,0.003856524
5037.6454483,290.072,3.530507,3.53513,0.253909,0.0001,294.3005,355.7714,0.003856524
5065.0239562,291.6411,285.7948,3.55058,0.261184,0.0001,295.737,355.9041,0.003856524
5092.4024641,290.9384,210.4388,3.55929,0.265302,0.0001,294.904,356.0344,0.003856524
5119.7809719,290.0492,135.309,3.55871,0.264452,0.0001,293.936,356.1132,0.003856524
5147.1594798,289.491,59.7673,3.5477,0.258611,0.0001,293.329,356.1619,0.003856524
5174.5379877,291.7379,341.3909,3.53739,0.253163,0.0001,295.4964,356.2415,0.003856524
5201.9164956,292.3034,264.6947,3.5541,0.261339,0.0001,295.8839,356.4194,0.003856524
5229.2950034,291.4418,189.5081,3.55977,0.263832,0.0001,294.9413,356.5005,0.003856524
5256.6735113,290.5632,114.3573,3.55693,0.261802,0.0001,293.9484,356.6148,0.003856524
5284.0520192,290.4527,38.3529,3.54231,0.254109,0.0001,293.7808,356.6719,0.003856524
5311.430527,293.0258,319.6182,3.54241,0.253917,0.0001,296.2624,356.7633,0.003856524
5338.8090349,292.8698,243.6839,3.55662,0.260976,0.0001,295.9288,356.941,0.003856524
5366.1875428,291.9397,168.5837,3.55968,0.262062,0.0001,294.9208,357.0189,0.003856524
5393.5660507,291.0906,93.37911,3.554,0.258705,0.0001,294.0192,357.0714,0.003856524
5420.9445585,291.8182,16.53564,3.53751,0.249878,0.0001,294.6284,357.1898,0.003856524
5448.3230664,293.9521,298.2288,3.54776,0.25487,0.0001,296.6079,357.3442,0.003856524
5475.7015743,293.37,222.7407,3.55836,0.260145,0.0001,295.924,357.446,0.003856524
5503.0800821,292.4328,147.6541,3.55916,0.260006,0.0001,294.8403,357.5925,0.003856524
5530.45859,291.7018,72.2979,3.55028,0.255161,0.0001,294.0581,357.6437,0.003856524
5557.8370979,293.47,354.4108,3.53645,0.247584,0.0001,295.7546,357.7154,0.003856524
5585.2156057,294.6519,277.0798,3.55207,0.255401,0.0001,296.7533,357.8986,0.003856524
5612.5941136,293.8366,201.8386,3.5594,0.258884,0.0001,295.8176,358.0189,0.003856524
5639.9726215,292.9087,126.7384,3.55801,0.257579,0.0001,294.779,358.1298,0.003856524
5667.3511294,292.4629,51.07718,3.54537,0.250949,0.0001,294.2487,358.2142,0.003856524
5694.7296372,294.9834,332.4196,3.5398,0.247606,0.0001,296.6466,358.3368,0.003856524
5722.1081451,295.2235,256.062,3.55516,0.255434,0.0001,296.6857,358.5378,0.003856524
5749.486653,294.2919,180.9532,3.55967,0.25735,0.0001,295.6253,358.6666,0.003856524
5776.8651608,293.3851,105.8154,3.55584,0.254759,0.0001,294.662,358.7231,0.003856524
5804.2436687,293.542,29.53332,3.54027,0.246505,0.0001,294.695,358.847,0.003856524
5831.6221766,296.0942,310.8272,3.54468,0.248513,0.0001,297.0992,358.995,0.003856524
5859.0006845,295.7131,235.1224,3.55728,0.254939,0.0001,296.5516,359.1615,0.003856524
5886.3791923,294.7346,160.0756,3.5594,0.255539,0.0001,295.4916,359.2429,0.003856524
5913.7577002,293.8902,84.85433,3.55243,0.2515,0.0001,294.5314,359.3588,0.003856524
5941.1362081,295.0471,7.565307,3.53727,0.243027,0.0001,295.6072,359.4399,0.003856524
5968.5147159,296.8854,289.5722,3.54951,0.249383,0.0001,297.253,359.6325,0.003856524
5995.8932238,296.1554,214.2349,3.55865,0.253987,0.0001,296.4096,359.7458,0.003856524
6023.2717317,295.1741,139.1869,3.55863,0.253401,0.0001,295.2785,359.8956,0.003856524
6050.6502396,294.4977,63.7695,3.54818,0.247793,0.0001,294.5321,359.9656,0.003856524
6078.0287474,296.669,345.4681,3.53819,0.241791,0.0001,296.5632,0.1058,0.003856524
6105.4072553,297.4784,268.5233,3.55336,0.249784,0.0001,297.1734,0.305,0.003856524
6132.7857632,296.5718,193.3807,3.55945,0.252654,0.0001,296.1365,0.4353,0.003856524
6160.164271,295.6072,118.3047,3.55716,0.250848,0.0001,295.0499,0.5574,0.003856524
6187.5427789,295.325,42.47222,3.543,0.243442,0.0001,294.7257,0.5993,0.003856524
6214.9212868,298.0111,323.6484,3.54208,0.242331,0.0001,297.2722,0.7388,0.003856524
6242.2997947,297.964,247.586,3.55601,0.249683,0.0001,297.0557,0.9083,0.003856524
6269.6783025,296.9725,172.5432,3.55954,0.25108,0.0001,295.8813,1.0912,0.003856524
6297.0568104,296.0561,97.40397,3.55463,0.247889,0.0001,294.9059,1.1502,0.003856524
6324.4353183,296.5517,20.76999,3.5387,0.239293,0.0001,295.2812,1.2706,0.003856524
6351.8138261,298.9624,302.2166,3.54668,0.243313,0.0001,297.5417,1.4207,0.003856524
6379.192334,298.3868,226.7117,3.55776,0.249071,0.0001,296.8134,1.5734,0.003856524
6406.5708419,297.3577,151.7133,3.55902,0.249211,0.0001,295.6139,1.7439,0.003856524
6433.9493498,296.5437,76.45469,3.55074,0.244477,0.0001,294.7198,1.8239,0.003856524
6461.3278576,298.1393,358.7121,3.53769,0.23679,0.0001,296.2099,1.9294,0.003856524
6488.7063655,299.6286,281.0825,3.55102,0.244092,0.0001,297.5505,2.0781,0.003856524
6516.0848734,298.776,205.8748,3.55885,0.248044,0.0001,296.532,2.244,0.003856524
6543.4633812,297.7509,130.8608,3.55797,0.246985,0.0001,295.398,2.3529,0.003856524
6570.8418891,297.1675,55.34566,3.54596,0.240579,0.0001,294.7266,2.4408,0.003856524
6598.220397,299.662,336.7142,3.54008,0.236463,0.0001,297.0896,2.5724,0.003856524
6625.5989049,300.122,260.1281,3.55442,0.244358,0.0001,297.3829,2.7392,0.003856524
6652.9774127,299.1387,185.0691,3.55946,0.24667,0.0001,296.2753,2.8634,0.003856524
6680.3559206,298.1493,110.0072,3.55617,0.244333,0.0001,295.1975,2.9518,0.003856524
6707.7344285,298.1059,33.92825,3.54083,0.236207,0.0001,295.0396,3.0663,0.003856524
6735.1129363,300.8298,315.0682,3.54416,0.23735,0.0001,297.6388,3.191,0.003856524
6762.4914442,300.5316,239.2647,3.55667,0.244135,0.0001,297.1498,3.3819,0.003856524
6789.8699521,299.4824,164.2805,3.55933,0.245049,0.0001,295.9854,3.497,0.003856524
6817.24846,298.5751,89.12412,3.55331,0.241258,0.0001,295.0317,3.5434,0.003856524
6844.6269678,299.4796,12.07136,3.53784,0.232656,0.0001,295.8422,3.6374,0.003856524
6872.0054757,301.6326,293.7833,3.54845,0.238357,0.0001,297.7937,3.8389,0.003856524
6899.3839836,300.8938,218.4502,3.55812,0.243444,0.0001,296.9215,3.9724,0.003856524
6926.7624914,299.8151,143.4949,3.55853,0.243114,0.0001,295.7312,4.0839,0.003856524
6954.1409993,299.0583,68.17294,3.54894,0.237671,0.0001,294.9001,4.1582,0.003856524
6981.5195072,301.0706,350.0046,3.53862,0.231189,0.0001,296.8143,4.2563,0.003856524
7008.8980151,302.184,272.7601,3.55231,0.23903,0.0001,297.7677,4.4163,0.003856524
7036.2765229,301.2291,197.6625,3.55899,0.242375,0.0001,296.683,4.5461,0.003856524
7063.6550308,300.1687,122.6745,3.55719,0.240824,0.0001,295.5383,4.6304,0.003856524
7091.0335387,299.7381,47.00187,3.54379,0.2336,0.0001,295.0385,4.6996,0.003856524
7118.4120465,302.4476,328.1511,3.54195,0.231575,0.0001,297.6297,4.8179,0.003856524
7145.7905544,302.5895,251.8918,3.55529,0.239169,0.0001,297.6138,4.9757,0.003856524
7173.1690623,301.5365,176.9053,3.5594,0.240965,0.0001,296.4556,5.0809,0.003856524
7200.5475702,300.535,101.8473,3.55507,0.238097,0.0001,295.3879,5.1471,0.003856524
7227.926078,300.8235,25.43147,3.53917,0.229435,0.0001,295.582,5.2415,0.003856524
7255.3045859,303.4446,306.6739,3.54604,0.232685,0.0001,298.1026,5.342,0.003856524
7282.6830938,302.9312,231.0954,3.55721,0.238855,0.0001,297.4386,5.4926,0.003856524
7310.0616016,301.8267,156.1629,3.55903,0.239292,0.0001,296.2313,5.5954,0.003856524
7337.4401095,300.9446,80.97381,3.55185,0.234902,0.0001,295.3206,5.624,0.003856524
7364.8186174,302.3011,3.464587,3.53773,0.226732,0.0001,296.6004,5.7007,0.003856524
7392.1971253,304.1098,285.5248,3.54999,0.233676,0.0001,298.2766,5.8332,0.003856524
7419.5756331,303.2345,210.3376,3.55841,0.238121,0.0001,297.2748,5.9597,0.003856524
7446.954141,302.1133,135.4173,3.55793,0.237305,0.0001,296.0618,6.0515,0.003856524
7474.3326489,301.4508,59.99386,3.54708,0.23113,0.0001,295.336,6.1148,0.003856524
7501.7111567,303.8209,341.4637,3.53988,0.226214,0.0001,297.6336,6.1873,0.003856524
7529.0896646,304.5588,264.6021,3.5534,0.234238,0.0001,298.2686,6.2902,0.003856524
7556.4681725,303.5151,189.5982,3.55908,0.237024,0.0001,297.1292,6.3859,0.003856524
7583.8466804,302.4297,114.6278,3.5563,0.234978,0.0001,295.9755,6.4542,0.003856524
7611.2251882,302.2346,38.71623,3.54189,0.226999,0.0001,295.7227,6.5119,0.003856524
7638.6036961,305.0275,319.7775,3.54375,0.22712,0.0001,298.4543,6.5732,0.003856524
7665.982204,304.8872,243.8104,3.55601,0.234276,0.0001,298.1747,6.7125,0.003856524
7693.3607118,303.77,168.8868,3.55926,0.235578,0.0001,296.9918,6.7782,0.003856524
7720.7392197,302.7664,93.82399,3.55384,0.232179,0.0001,295.9536,6.8128,0.003856524
7748.1177276,303.472,16.98982,3.53821,0.223321,0.0001,296.6308,6.8413,0.003856524
7775.4962355,305.8616,298.4608,3.54772,0.22836,0.0001,298.8991,6.9625,0.003856524
7802.8747433,305.1657,223.0756,3.55765,0.233904,0.0001,298.1165,7.0492,0.003856524
7830.2532512,304.0128,148.1864,3.55864,0.233861,0.0001,296.8811,7.1317,0.003856524
7857.6317591,303.1743,72.94479,3.55026,0.228854,0.0001,296.0661,7.1083,0.003856524
7885.0102669,304.9837,354.9826,3.53825,0.221573,0.0001,297.7938,7.1899,0.003856524
7912.3887748,306.4022,277.436,3.55131,0.229306,0.0001,299.1199,7.2823,0.003856524
7939.7672827,305.4107,202.3723,3.55863,0.233147,0.0001,298.056,7.3546,0.003856524
7967.1457906,304.2574,127.478,3.55724,0.231846,0.0001,296.8551,7.4023,0.003856524
7994.5242984,303.7426,51.89893,3.54528,0.224939,0.0001,296.3508,7.3918,0.003856524
8021.9028063,306.3787,333.1009,3.54131,0.221839,0.0001,298.9232,7.4556,0.003856524
