Time,long,M,a,e,i,peri,node,mass
0.0,9.2,0.0,1.33233,0.089545,0.0,9.7824,359.4176,0.001899638
27.3785079,8.574317,255.9315,1.32126,0.102233,0.0,9.5808,358.9935,0.001899638
54.7570157,6.701169,69.22137,1.32337,0.102972,0.0,5.4334,1.2678,0.001899638
82.1355236,2.270252,338.0754,1.33305,0.097766,0.0,3.0891,359.1812,0.001899638
109.5140315,1.61104,191.8829,1.32355,0.111425,0.0,0.5149,1.0962,0.001899638
136.8925394,356.4723,44.22133,1.33354,0.104392,0.0,356.6891,359.7832,0.001899638
164.2710472,356.1082,317.1325,1.32501,0.113474,0.0,356.4377,359.6705,0.001899638
191.6495551,355.0155,131.8087,1.32167,0.119334,0.0,353.6912,1.3243,0.001899638
219.028063,350.5375,20.90811,1.33204,0.112258,0.0,351.2752,359.2623,0.001899638
246.4065708,350.1551,252.4256,1.32228,0.126206,0.0,350.3153,359.8398,0.001899638
273.7850787,346.1858,83.56086,1.33277,0.121098,0.0,344.2063,1.9794,0.001899638
301.1635866,345.3541,1.066703,1.33396,0.122106,0.0,345.0641,0.2899,0.001899638
328.5420945,344.524,193.4159,1.32288,0.13508,0.0,341.7849,2.739,0.001899638
355.9206023,340.4824,60.70921,1.33239,0.127305,0.0,339.8516,0.6308,0.001899638
383.2991102,339.9557,319.8183,1.32192,0.139928,0.0,340.2478,359.7079,0.001899638
410.6776181,338.9069,133.4265,1.32196,0.142406,0.0,337.7552,1.1516,0.001899638
438.0561259,335.5677,32.85051,1.33296,0.135173,0.0,335.0276,0.5401,0.001899638
465.4346338,334.9813,258.1728,1.32278,0.149575,0.0,333.5085,1.4727,0.001899638
492.8131417,331.7209,91.4595,1.33361,0.143181,0.0,328.9058,2.8151,0.001899638
520.1916496,330.8933,7.838344,1.33433,0.144381,0.0,331.7297,359.1636,0.001899638
547.5701574,329.9844,202.4387,1.32306,0.15757,0.0,327.2209,2.7635,0.001899638
574.9486653,326.6642,64.48626,1.3331,0.148786,0.0,325.2384,1.4258,0.001899638
602.3271732,326.0159,330.7543,1.3227,0.160217,0.0,324.971,1.0449,0.001899638
629.705681,325.0238,145.827,1.32163,0.163876,0.0,321.3327,3.6911,0.001899638
657.0841889,322.1898,33.64407,1.3325,0.155175,0.0,322.3647,359.8251,0.001899638
684.4626968,321.2135,274.2778,1.32134,0.16885,0.0,318.6118,2.6017,0.001899638
711.8412047,319.7286,92.91799,1.3249,0.167221,0.0,317.8068,1.9219,0.001899638
739.2197125,317.8163,1.834576,1.33377,0.160941,0.0,318.0134,359.8029,0.001899638
766.5982204,316.5644,220.5042,1.32268,0.174775,0.0,312.8964,3.668,0.001899638
793.9767283,314.0984,55.56898,1.33362,0.166339,0.0,312.324,1.7743,0.001899638
821.3552361,313.2973,330.3801,1.33431,0.166783,0.0,313.4194,359.8779,0.001899638
848.733744,311.8578,169.8202,1.32282,0.179253,0.0,308.363,3.4947,0.001899638
876.1122519,309.3842,22.32885,1.33374,0.168878,0.0,308.8435,0.5407,0.001899638
903.4907598,308.6734,295.2478,1.32974,0.173876,0.0,306.9409,1.7325,0.001899638
930.8692676,307.229,119.4551,1.32204,0.182201,0.0,305.5129,1.7161,0.001899638
958.2477755,305.0518,347.7619,1.33305,0.170938,0.0,304.8639,0.1879,0.001899638
985.6262834,303.7402,251.5899,1.32417,0.180489,0.0,300.4998,3.2404,0.001899638
1013.0047912,302.5283,68.83011,1.32177,0.18348,0.0,301.3519,1.1765,0.001899638
1040.3832991,300.6204,312.4079,1.33296,0.171758,0.0,299.6631,0.9573,0.001899638
1067.761807,298.8698,201.5157,1.32167,0.183595,0.0,295.3932,3.4766,0.001899638
1095.1403149,297.8847,18.1279,1.32269,0.18237,0.0,297.1081,0.7765,0.001899638
1122.5188227,296.2315,276.7842,1.33276,0.171964,0.0,292.5835,3.6479,0.001899638
1149.8973306,294.1977,150.695,1.32176,0.183526,0.0,291.5588,2.6389,0.001899638
1177.2758385,292.8993,331.1064,1.3258,0.178624,0.0,291.5316,1.3677,0.001899638
1204.6543463,291.8464,241.7342,1.33366,0.170813,0.0,288.3996,3.4468,0.001899638
1232.0328542,289.536,100.5163,1.32256,0.181974,0.0,287.258,2.278,0.001899638
1259.4113621,288.0117,293.2149,1.33341,0.170521,0.0,285.6369,2.3748,0.001899638
1286.78987,287.3913,207.7891,1.33345,0.169036,0.0,284.4911,2.9002,0.001899638
1314.1683778,284.8817,50.46119,1.32294,0.178499,0.0,284.1262,0.7555,0.001899638
1341.5468857,283.4378,260.5455,1.33385,0.165252,0.0,279.9604,3.4775,0.001899638
1368.9253936,282.3655,173.385,1.33035,0.167983,0.0,279.4329,2.9326,0.001899638
1396.3039014,280.2593,359.0244,1.32209,0.173959,0.0,278.7976,1.4617,0.001899638
1423.6824093,279.0994,227.7166,1.33302,0.160066,0.0,276.0797,3.0196,0.001899638
1451.0609172,276.8847,128.9105,1.32269,0.168145,0.0,274.7228,2.1619,0.001899638
1478.4394251,275.5244,305.3275,1.32124,0.167395,0.0,273.6548,1.8696,0.001899638
1505.8179329,274.7031,194.8113,1.33252,0.154053,0.0,272.0572,2.6459,0.001899638
1533.1964408,271.6517,74.26474,1.32209,0.163171,0.0,270.708,0.9436,0.001899638
1560.5749487,270.7243,252.0443,1.32765,0.155565,0.0,267.6926,3.0317,0.001899638
1587.9534565,270.1178,164.0093,1.33297,0.147905,0.0,267.2359,2.8819,0.001899638
1615.3319644,266.8049,19.38594,1.32322,0.156227,0.0,266.1119,0.693,0.001899638
1642.7104723,265.8341,220.1422,1.33409,0.1426,0.0,263.5079,2.3262,0.001899638
1670.0889802,264.9802,135.0637,1.3325,0.142604,0.0,263.7113,1.2689,0.001899638
1697.467488,261.8701,324.9744,1.3224,0.148368,0.0,260.9039,0.9661,0.001899638
1724.8459959,261.3154,192.8184,1.33265,0.134019,0.0,258.5875,2.7279,0.001899638
1752.2245038,258.0001,90.7698,1.32167,0.141181,0.0,256.9879,1.0122,0.001899638
1779.6030116,256.7056,265.2655,1.32128,0.138658,0.0,254.1751,2.5305,0.001899638
1806.9815195,256.4364,163.4893,1.33252,0.125783,0.0,254.6049,1.8316,0.001899638
1834.3600274,252.2419,32.28546,1.32286,0.133588,0.0,251.9596,0.2823,0.001899638
1861.7385352,251.5741,221.1502,1.33391,0.120908,0.0,249.2937,2.2805,0.001899638
1889.1170431,251.0016,138.1397,1.33333,0.118947,0.0,250.1978,0.8037,0.001899638
1916.495551,246.5934,335.8709,1.3231,0.124538,0.0,245.0971,1.4963,0.001899638
1943.8740589,246.3521,198.9514,1.33258,0.110523,0.0,245.4924,0.8597,0.001899638
1971.2525667,242.0278,100.9471,1.32191,0.116761,0.0,242.7327,359.295,0.001899638
1998.6310746,240.7936,274.7684,1.32127,0.114809,0.0,238.4164,2.3772,0.001899638
2026.0095825,240.3636,171.9538,1.33203,0.102064,0.0,239.833,0.5305,0.001899638
2053.3880903,235.2024,39.76276,1.32334,0.109444,0.0,235.0171,0.1853,0.001899638
2080.7665982,234.1676,236.5247,1.3341,0.096301,0.0,232.4109,1.7567,0.001899638
2108.1451061,232.605,154.3074,1.33196,0.096557,0.0,233.2229,359.3821,0.001899638
2135.523614,228.0064,340.9086,1.3222,0.101155,0.0,226.9957,1.0107,0.001899638
2162.9021218,227.3951,215.8459,1.33189,0.087547,0.0,225.9494,1.4457,0.001899638
2190.2806297,221.8035,105.7473,1.32133,0.094973,0.0,223.4454,358.358,0.001899638
2217.6591376,220.0139,280.9072,1.32299,0.091119,0.0,219.1861,0.8278,0.001899638
2245.0376454,219.181,191.2584,1.33333,0.080788,0.0,218.7242,0.4569,0.001899638
2272.4161533,212.8836,48.87963,1.32358,0.088892,0.0,213.2475,359.6361,0.001899638
2299.7946612,211.2529,259.4279,1.33343,0.075836,0.0,211.2132,0.0397,0.001899638
2327.1731691,207.3037,173.2734,1.32551,0.081216,0.0,207.6073,359.6964,0.001899638
2354.5516769,203.2981,351.1637,1.32145,0.082398,0.0,203.5421,359.756,0.001899638
2381.9301848,201.2587,238.0973,1.33198,0.069974,0.0,200.4198,0.8389,0.001899638
2409.3086927,195.033,118.1823,1.32236,0.079594,0.0,197.3006,357.7325,0.001899638
2436.6872005,191.7962,301.856,1.33227,0.070218,0.0,191.7764,0.0198,0.001899638
2464.0657084,189.9066,220.1237,1.33378,0.067597,0.0,190.8686,359.038,0.001899638
2491.4442163,183.7452,63.77225,1.32356,0.076863,0.0,185.0875,358.6577,0.001899638
2518.8227242,179.6418,289.8924,1.3324,0.064799,0.0,178.372,1.2697,0.001899638
2546.201232,174.7585,192.3564,1.32135,0.074755,0.0,176.6603,358.0982,0.001899638
2573.5797399,172.4084,7.318385,1.32138,0.074774,0.0,173.3273,359.0811,0.001899638
2600.9582478,167.4867,267.543,1.33209,0.064878,0.0,167.5356,359.9511,0.001899638
2628.3367556,163.1932,137.2628,1.32285,0.07655,0.0,165.8507,357.3425,0.001899638
2655.7152635,157.4205,332.2156,1.33336,0.068346,0.0,157.7267,359.6938,0.001899638
2683.0937714,155.8619,247.1393,1.33463,0.067695,0.0,156.7796,359.0822,0.001899638
2710.4722793,152.2758,90.29213,1.32312,0.079445,0.0,153.8903,358.3855,0.001899638
2737.8507871,146.3022,304.6337,1.33423,0.069955,0.0,147.016,359.2863,0.001899638
2765.229295,145.4634,215.0223,1.33417,0.071838,0.0,147.5248,357.9387,0.001899638
2792.6078029,142.3863,51.50504,1.32304,0.083215,0.0,143.562,358.8244,0.001899638
2819.9863107,136.2493,265.405,1.33413,0.074544,0.0,138.3452,357.904,0.001899638
2847.3648186,135.4686,176.0751,1.33473,0.076217,0.0,138.5184,356.9501,0.001899638
2874.7433265,133.5933,14.75776,1.32286,0.088437,0.0,135.2513,358.342,0.001899638
2902.1218344,127.9642,218.1303,1.33456,0.080775,0.0,130.2493,357.7149,0.001899638
2929.5003422,126.8523,123.4766,1.33415,0.080229,0.0,129.6482,357.204,0.001899638
2956.8788501,125.8977,351.0951,1.32103,0.093349,0.0,126.6055,359.2922,0.001899638
2984.257358,124.5587,177.7178,1.32035,0.094252,0.0,127.7814,356.7773,0.001899638
3011.6358658,119.4718,62.04476,1.33358,0.086056,0.0,120.2739,359.1979,0.001899638
3039.0143737,119.3141,321.5277,1.33592,0.088126,0.0,120.7888,358.5253,0.001899638
3066.3928816,118.536,173.4605,1.31991,0.100464,0.0,121.5699,356.9661,0.001899638
3093.7713895,118.4377,16.47517,1.32126,0.101437,0.0,118.3351,0.1026,0.001899638
3121.1498973,114.4909,218.4905,1.33039,0.097512,0.0,118.0468,356.4441,0.001899638
3148.5284052,113.2601,118.8796,1.33318,0.092923,0.0,115.7301,357.5299,0.001899638
3175.9069131,112.5351,12.71123,1.32271,0.103797,0.0,112.1001,0.435,0.001899638
3203.2854209,111.8397,197.5452,1.32215,0.107743,0.0,115.7913,356.0484,0.001899638
3230.6639288,107.0711,59.46104,1.33432,0.099365,0.0,108.1705,358.9006,0.001899638
3258.0424367,106.9365,325.3981,1.33482,0.101224,0.0,109.1113,357.8252,0.001899638
3285.4209446,105.8556,169.0627,1.32218,0.113715,0.0,109.6367,356.2189,0.001899638
3312.7994524,103.1965,359.2915,1.32838,0.109506,0.0,103.9389,359.2576,0.001899638
3340.1779603,100.9578,259.8159,1.33327,0.105584,0.0,104.0837,356.874,0.001899638
3367.5564682,101.2045,154.6288,1.32391,0.116085,0.0,103.0856,358.119,0.001899638
3394.934976,100.1148,347.74,1.32152,0.120503,0.0,100.2141,359.9007,0.001899638
3422.3134839,100.2871,190.2272,1.31832,0.121317,0.0,103.1301,357.1571,0.001899638
3449.6919918,107.932,123.8291,1.30774,0.124515,0.0,109.5688,358.3632,0.001899638
3477.0704997,238.3509,330.2396,1.54358,0.03023,0.0,231.7527,6.5982,0.001899638
3504.4490075,63.1437,275.4971,1.45437,0.073373,0.0,203.2506,219.8931,0.001899638
3531.8275154,13.07759,306.8786,1.42602,0.083242,0.0022,184.7996,188.278,0.001899638
3559.2060233,296.302,26.74401,1.50707,0.02898,0.1089,181.902,114.4,0.001899638
3586.5845311,336.1313,56.76563,1.51173,0.05048,0.1062,240.0303,96.101,0.001899638
3613.963039,297.384,97.45612,1.53642,0.042157,0.2488,345.8057,311.5784,0.001899638
3641.3415469,171.6098,183.0609,1.37711,0.058982,0.6035,296.5382,235.0717,0.001899638
3668.7200548,231.3092,25.62294,1.40555,0.044387,0.594,94.4196,136.8896,0.001899638
3696.0985626,225.995,41.03466,1.39482,0.048919,0.6113,101.2777,124.7174,0.001899638
3723.4770705,173.4738,341.0895,1.3451,0.065919,1.6832,156.5965,16.8773,0.001899638
3750.8555784,181.0208,103.4218,1.35407,0.060489,1.7723,175.0203,6.0005,0.001899638
3778.2340862,351.1219,352.8193,1.51169,0.039248,2.8512,147.7972,203.3246,0.001899638
3805.6125941,162.7295,276.5407,1.50898,0.028359,0.501,200.3901,322.3394,0.001899638
3832.991102,221.2527,302.7875,1.51039,0.032929,0.5414,268.1527,313.1,0.001899638
3860.3696099,237.2696,2.348712,1.51141,0.04056,0.5501,288.1947,309.0749,0.001899638
3887.7481177,257.7692,358.5237,1.49248,0.042716,0.5468,312.1785,305.5907,0.001899638
3915.1266256,274.6784,44.55172,1.49532,0.045553,0.533,333.3791,301.2993,0.001899638
3942.5051335,291.3761,104.2187,1.48739,0.048123,0.5219,355.5687,295.8073,0.001899638
3969.8836413,302.7925,159.0769,1.486,0.056127,0.5122,12.9973,289.7952,0.001899638
3997.2621492,319.5845,235.8995,1.50034,0.065115,0.5132,38.0294,281.555,0.001899638
4024.6406571,330.9801,252.7445,1.49528,0.071521,0.5261,54.1332,276.8468,0.001899638
4052.019165,342.7774,337.9546,1.49454,0.074179,0.5358,69.5162,273.2612,0.001899638
4079.3976728,356.1927,354.1284,1.49323,0.075276,0.5376,86.1766,270.0162,0.001899638
4106.7761807,11.95373,71.29629,1.50766,0.072541,0.5185,106.6248,265.3289,0.001899638
4134.1546886,21.68451,90.41675,1.49511,0.067646,0.5116,120.8559,260.8286,0.001899638
4161.5331964,29.69448,158.8993,1.48218,0.062114,0.5104,134.1166,255.5779,0.001899638
4188.9117043,47.49851,226.027,1.50612,0.046705,0.5168,160.9355,246.563,0.001899638
4216.2902122,47.47356,217.1139,1.47885,0.034832,0.5299,164.9985,242.475,0.001899638
4243.6687201,56.7626,293.0797,1.50035,0.021645,0.534,178.3458,238.4168,0.001899638
4271.0472279,323.7857,121.5343,1.51196,0.008829,0.514,91.3407,232.445,0.001899638
4298.4257358,315.5162,167.3516,1.4885,0.022644,0.5135,89.6818,225.8344,0.001899638
4325.8042437,314.9742,185.6126,1.47854,0.043043,0.5221,98.2867,216.6875,0.001899638
4353.1827515,318.5835,279.8976,1.50085,0.055204,0.5258,107.1236,211.4599,0.001899638
4380.5612594,328.8812,24.24674,1.49087,0.068099,0.5451,122.0588,206.8224,0.001899638
4407.9397673,342.245,341.3886,1.48477,0.076218,0.5378,139.9242,202.3208,0.001899638
4435.3182752,350.4644,88.89078,1.50164,0.081108,0.523,152.6988,197.7656,0.001899638
4462.696783,358.9703,161.3123,1.47833,0.081727,0.5169,167.0563,191.914,0.001899638
4490.0752909,17.03007,184.5345,1.4869,0.077737,0.5253,197.108,179.922,0.001899638
4517.4537988,26.29685,200.6263,1.51249,0.073116,0.5309,210.9717,175.3251,0.001899638
4544.8323066,35.4878,248.8705,1.47793,0.057354,0.5428,225.1938,170.294,0.001899638
4572.2108145,46.97064,348.6046,1.50351,0.048377,0.529,240.0404,166.9302,0.001899638
4599.5893224,45.63493,60.60745,1.48109,0.03681,0.5279,243.4799,162.155,0.001899638
4626.9678303,20.49312,173.3796,1.47121,0.010164,0.5279,233.2935,147.1997,0.001899638
4654.3463381,238.0174,180.4662,1.72756,0.101841,1.0465,177.4186,60.5987,0.001899638
4681.724846,264.2173,285.2577,1.64495,0.073132,1.5149,238.2284,25.989,0.001899638
4709.1033539,272.9471,263.2689,1.69504,0.101837,1.3914,328.8322,304.1149,0.001899638
4736.4818617,309.1163,156.626,1.61496,0.086043,1.7297,206.956,102.1603,0.001899638
4763.8603696,314.3916,99.76272,1.72682,0.144971,0.7703,288.1196,26.272,0.001899638
4791.2388775,319.1672,153.435,1.69743,0.134576,0.9236,331.0667,348.1005,0.001899638
4818.6173854,324.1096,205.6326,1.78808,0.172173,1.1376,355.4059,328.7037,0.001899638
4845.9958932,349.2597,59.07645,1.65853,0.120024,1.2866,172.8154,176.4443,0.001899638
4873.3744011,10.84731,282.5164,1.71577,0.144476,0.5882,283.9367,86.9106,0.001899638
4900.752909,11.423,282.1547,1.64452,0.109129,1.5787,8.5319,2.8911,0.001899638
4928.1314168,4.523169,46.83715,1.61572,0.099052,1.1704,69.063,295.4602,0.001899638
4955.5099247,15.3485,93.24063,1.6669,0.111199,2.3944,152.9447,222.4038,0.001899638
4982.8884326,55.5364,220.1967,1.59582,0.04912,2.6082,339.3097,76.2267,0.001899638
5010.2669405,76.62742,11.8476,1.63674,0.073347,1.5011,69.2153,7.4122,0.001899638
5037.6454483,80.18544,131.3622,1.66822,0.084583,1.8732,126.8305,313.3549,0.001899638
5065.0239562,300.7671,58.89391,1.46872,0.031408,2.048,28.603,272.1641,0.001899638
5092.4024641,337.4876,238.5206,1.54054,0.054494,2.4342,311.2501,26.2374,0.001899638
5119.7809719,308.5464,70.85502,1.4381,0.039638,2.184,37.4773,271.0691,0.001899638
5147.1594798,337.4924,201.2189,1.45308,0.02214,2.1799,95.0047,242.4877,0.001899638
5174.5379877,23.54112,137.8766,1.44564,0.052788,2.1359,170.1566,213.3845,0.001899638
5201.9164956,92.50857,166.015,1.39323,0.037499,0.9564,36.9023,55.6062,0.001899638
5229.2950034,330.7358,174.1208,1.61748,0.11286,1.1477,104.3565,226.3793,0.001899638
5256.6735113,332.3307,85.37093,1.64105,0.121956,1.8821,170.2403,162.0904,0.001899638
5284.0520192,348.2147,72.355,1.72684,0.168824,0.8946,243.8107,104.404,0.001899638
5311.430527,2.127038,211.0787,1.6972,0.151038,1.6259,351.6567,10.4704,0.001899638
5338.8090349,4.193587,70.4111,1.68202,0.144535,1.5365,11.4673,352.7263,0.001899638
5366.1875428,6.44416,6.066246,1.70942,0.157578,0.9619,71.0757,295.3685,0.001899638
5393.5660507,6.683114,346.2803,1.68842,0.14735,1.0138,117.6176,249.0655,0.001899638
5420.9445585,3.877353,347.3223,1.68562,0.147464,1.0542,127.371,236.5064,0.001899638
5448.3230664,1.210314,303.5898,1.68841,0.149903,1.0753,134.0701,227.1402,0.001899638
5475.7015743,356.7014,272.6787,1.68593,0.152468,1.0785,137.0177,219.6837,0.001899638
5503.0800821,351.955,242.6938,1.68092,0.151541,1.0772,139.0864,212.8686,0.001899638
5530.45859,346.776,212.2758,1.67797,0.154453,1.0728,140.7049,206.071,0.001899638
5557.8370979,7.742975,59.32187,1.66954,0.134268,0.6069,264.3358,103.4072,0.001899638
5585.2156057,269.3085,56.31881,1.37344,0.073342,0.4543,280.5946,348.7138,0.001899638
5612.5941136,256.5192,122.2784,1.31787,0.104868,0.4516,291.6559,324.8633,0.001899638
5639.9726215,256.0816,52.5104,1.2928,0.125345,0.4816,312.5457,303.5359,0.001899638
5667.3511294,302.8253,276.6462,1.4167,0.09749,0.8062,75.2241,227.6012,0.001899638
5694.7296372,322.321,176.7248,1.68836,0.168661,1.2983,333.4213,348.8996,0.001899638
5722.1081451,314.6957,265.8322,1.68597,0.164126,1.4186,42.7446,271.9512,0.001899638
5749.486653,312.4375,218.6705,1.69774,0.168141,1.377,52.7249,259.7126,0.001899638
5776.8651608,332.9194,263.9185,1.7296,0.18645,1.6185,168.4789,164.4405,0.001899638
5804.2436687,343.248,173.8503,1.73599,0.185743,1.3171,199.4116,143.8363,0.001899638
5831.6221766,353.6172,180.3966,1.78872,0.202616,0.9971,268.9988,84.6184,0.001899638
5859.0006845,0.6506344,113.9593,1.73706,0.170816,1.5213,314.4664,46.1842,0.001899638
5886.3791923,10.50828,201.1626,1.69406,0.135023,1.4362,346.6381,23.8702,0.001899638
5913.7577002,10.23102,258.9928,1.70526,0.142801,1.3454,358.8652,11.3659,0.001899638
5941.1362081,15.81874,250.4075,1.7105,0.136766,1.1294,43.292,332.5267,0.001899638
5968.5147159,25.85529,19.1857,1.70208,0.111917,1.6363,100.6787,285.1766,0.001899638
5995.8932238,38.60396,114.8809,1.70284,0.084855,1.7581,131.564,267.0399,0.001899638
6023.2717317,48.50632,237.7256,1.70419,0.068979,1.3132,166.68,241.8264,0.001899638
6050.6502396,57.09308,215.391,1.72504,0.074032,1.1744,196.5625,220.5305,0.001899638
6078.0287474,49.37079,348.0873,1.69159,0.047328,1.4243,235.5176,173.8532,0.001899638
6105.4072553,44.01996,130.3767,1.68469,0.037842,1.7216,247.4109,156.609,0.001899638
6132.7857632,108.5313,107.4197,1.71316,0.013499,1.8229,326.4906,142.0407,0.001899638
6160.164271,234.5156,110.0741,1.71039,0.028865,1.263,121.3012,113.2144,0.001899638
6187.5427789,253.1196,57.67456,1.70609,0.045142,1.2576,191.2977,61.8218,0.001899638
6214.9212868,257.5886,56.44888,1.70211,0.046555,1.4672,215.0135,42.5751,0.001899638
6242.2997947,280.4127,204.631,1.68882,0.081493,1.7965,259.7552,20.6574,0.001899638
6269.6783025,302.9359,271.313,1.65749,0.107614,1.3552,322.0268,340.9091,0.001899638
6297.0568104,307.8676,214.2584,1.71388,0.157227,1.7081,20.9786,286.889,0.001899638
6324.4353183,308.2149,334.6276,1.70664,0.151964,1.7843,31.7932,276.4216,0.001899638
6351.8138261,305.8323,100.0687,1.71851,0.156967,1.8289,38.9441,266.8882,0.001899638
6379.192334,314.6572,58.66034,1.71968,0.168992,1.5341,69.9018,244.7553,0.001899638
6406.5708419,324.0621,284.5392,1.69528,0.1665,1.28,128.0178,196.0443,0.001899638
6433.9493498,346.7782,19.2469,1.6133,0.127202,1.6502,209.0944,137.6839,0.001899638
6461.3278576,8.349772,49.45873,1.62087,0.113223,1.8007,292.3622,75.9875,0.001899638
6488.7063655,319.7243,20.31852,1.59114,0.064219,1.5203,4.5836,315.1407,0.001899638
6516.0848734,337.7916,193.4268,1.58059,0.104477,1.3676,139.161,198.6306,0.001899638
6543.4633812,326.029,327.5419,1.40972,0.065511,1.4927,22.04,303.989,0.001899638
6570.8418891,0.508023,275.9681,1.41833,0.064802,1.5407,74.1192,286.3889,0.001899638
6598.220397,27.20111,266.736,1.37365,0.051095,1.6647,118.2461,268.955,0.001899638
6625.5989049,78.8713,223.2411,1.3167,0.048246,1.4984,194.2896,244.5817,0.001899638
6652.9774127,69.1757,95.69668,1.33734,0.010664,1.4728,230.4978,198.6779,0.001899638
6680.3559206,149.7825,20.82519,1.30111,0.024333,1.5463,320.0442,189.7382,0.001899638
6707.7344285,240.9551,65.9272,1.31243,0.039401,1.6872,71.359,169.5961,0.001899638
6735.1129363,286.0126,240.5402,1.34443,0.08422,1.5921,193.8248,92.1878,0.001899638
6762.4914442,287.4044,173.2508,1.28994,0.149227,1.8102,218.7955,68.6089,0.001899638
6789.8699521,297.282,191.9882,1.31206,0.146129,1.5989,239.2275,58.0545,0.001899638
6817.24846,308.0131,40.76988,1.30674,0.172554,1.1967,309.1488,358.8643,0.001899638
6844.6269678,314.8935,332.0089,1.31688,0.173064,1.3485,336.7506,338.1429,0.001899638
6872.0054757,316.1378,199.9183,1.31817,0.172604,1.39,344.439,331.6988,0.001899638
6899.3839836,317.2512,60.28781,1.31716,0.173199,1.4373,351.7713,325.4799,0.001899638
6926.7624914,329.6068,40.99206,1.37305,0.141293,1.5222,18.4822,311.1246,0.001899638
6954.1409993,22.18344,81.47353,1.6091,0.048225,1.0762,19.0143,3.1691,0.001899638
6981.5195072,334.7207,278.0411,1.58767,0.056435,0.7285,99.9735,234.7472,0.001899638
7008.8980151,313.6897,309.7654,1.61381,0.057061,1.4176,114.9718,198.7179,0.001899638
7036.2765229,350.0486,75.64098,1.56617,0.086429,1.2748,217.1871,132.8615,0.001899638
7063.6550308,16.45454,275.4974,1.40128,0.053499,1.1106,201.4935,174.961,0.001899638
7091.0335387,28.6452,206.5377,1.61632,0.082226,1.3607,248.8525,139.7927,0.001899638
7118.4120465,12.39889,252.7681,1.73044,0.183443,1.3062,129.26,243.1388,0.001899638
7145.7905544,17.65131,304.0411,1.70017,0.161812,1.5663,155.5791,222.0722,0.001899638
7173.1690623,37.14367,355.4166,1.74171,0.163387,0.9576,230.4257,166.718,0.001899638
7200.5475702,51.90698,137.9558,1.66725,0.090812,1.2121,320.5947,91.3122,0.001899638
7227.926078,8.901919,152.9868,1.58614,0.051214,1.5125,43.2,325.7019,0.001899638
7255.3045859,356.0265,13.92945,1.39788,0.044093,1.6168,300.2516,55.7749,0.001899638
7282.6830938,264.086,193.4398,1.31238,0.04965,1.9417,243.4591,20.6268,0.001899638
7310.0616016,265.4929,78.49555,1.29476,0.074276,1.7678,257.9287,7.5642,0.001899638
7337.4401095,268.5914,61.66869,1.2765,0.099625,1.4556,283.796,344.7954,0.001899638
7364.8186174,267.2593,334.7561,1.24441,0.127935,1.4632,303.2656,323.9937,0.001899638
7392.1971253,268.2853,251.05,1.23455,0.137913,1.5267,314.3556,313.9298,0.001899638
7419.5756331,275.027,297.5205,1.23201,0.150664,1.8192,341.8281,293.1989,0.001899638
7446.954141,282.2645,100.1341,1.2228,0.170915,2.2584,2.5361,279.7284,0.001899638
7474.3326489,290.5434,225.521,1.23126,0.177199,2.5215,18.1316,272.4117,0.001899638
7501.7111567,293.4153,224.8766,1.21506,0.197564,2.4994,25.0526,268.3626,0.001899638
7529.0896646,294.5161,44.8459,1.21316,0.200935,2.4738,27.9246,266.5915,0.001899638
7556.4681725,296.972,150.6528,1.21291,0.205416,2.4147,33.1144,263.8576,0.001899638
7583.8466804,298.9503,250.8929,1.21227,0.210108,2.3013,38.2527,260.6976,0.001899638
7611.2251882,300.6753,16.6058,1.21385,0.211639,2.1925,42.7738,257.9015,0.001899638
7638.6036961,302.5352,193.1163,1.21538,0.214,2.1071,47.7819,254.7533,0.001899638
7665.982204,305.4359,272.201,1.21761,0.217287,1.9339,56.8991,248.5368,0.001899638
7693.3607118,305.4264,58.86607,1.20499,0.226725,1.9203,59.4953,245.9311,0.001899638
7720.7392197,306.0792,17.39649,1.20517,0.227749,1.8966,62.0508,244.0284,0.001899638
7748.1177276,307.7233,321.7298,1.20217,0.233581,1.8052,69.843,237.8803,0.001899638
7775.4962355,308.5344,273.1141,1.20251,0.234309,1.774,73.2912,235.2432,0.001899638
7802.8747433,311.8823,264.5479,1.20029,0.243062,1.6067,95.0442,216.8381,0.001899638
7830.2532512,313.8268,148.3069,1.20459,0.242125,1.5914,105.0659,208.7609,0.001899638
7857.6317591,314.5663,111.5518,1.20478,0.24323,1.5997,108.817,205.7493,0.001899638
7885.0102669,316.7576,357.0732,1.20269,0.248374,1.674,123.0152,193.7425,0.001899638
7912.3887748,319.5795,354.3674,1.20192,0.253499,1.9092,141.2865,178.293,0.001899638
7939.7672827,321.7283,333.3156,1.20371,0.254661,2.0985,151.0466,170.6817,0.001899638
7967.1457906,323.1149,267.7309,1.20484,0.255227,2.2257,156.3701,166.7448,0.001899638
7994.5242984,325.4864,223.5587,1.20319,0.259307,2.423,163.7633,161.7232,0.001899638
8021.9028063,326.8354,319.096,1.19786,0.265313,2.5451,167.6887,159.1466,0.001899638
8049.2813142,327.3754,28.58337,1.19477,0.26869,2.5828,169.4272,157.9481,0.001899638
8076.659822,328.4283,91.13516,1.19374,0.269877,2.6217,171.9711,156.4572,0.001899638
8104.0383299,329.4813,270.7175,1.18946,0.274444,2.7014,174.6871,154.7942,0.001899638
